currency pair id,last trade price,lowest ask,highest bid,percent change in last 24 hours,base currency volume in last 24 hours,quote currency volume in last 24 hours,is frozen,highest trade price in last 24 hours,lowest trade price in last 24 hours,post only,maintenance mode,timestamp
121,35973.98357215,35990.78028419,35973.98390000,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409233.2656193
149,2423.37951485,2425.75526842,2425.07908807,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409233.2659283
121,35973.98357215,35990.78028419,35975.78301911,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409233.9670205
149,2423.37951485,2425.95593320,2425.20035893,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409233.9672732
121,35973.98357215,35987.81310111,35977.58218319,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409234.56621
121,35973.98357215,35986.01396623,35979.38128309,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409235.1725059
149,2423.37951485,2425.84290847,2425.20036112,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409235.2663398
121,35973.98357215,35987.81310111,35979.38129309,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409236.5848799
149,2423.37951485,2427.50455839,2425.20036113,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409236.5852556
121,35973.98357215,35987.81310111,35982.97969780,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409237.2735572
149,2423.37951485,2427.38323773,2425.32167876,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409237.2739773
121,35973.98357215,36005.89872928,35985.08383430,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409237.9827995
149,2423.37951485,2427.38323773,2425.44299942,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409238.0831716
121,35973.98357215,36005.89872928,35986.88360887,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409238.9205916
149,2423.37951485,2427.38323773,2425.56433007,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409238.9209952
121,35973.98357215,36004.09890972,35988.68339343,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409239.696079
149,2423.37951485,2427.38323773,2425.68565378,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409239.6964648
121,35973.98357215,35999.47425484,35990.48310738,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409240.3791268
149,2423.37951485,2427.38323773,2425.68566379,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409240.494959
121,35973.98357215,35999.47425484,35992.28285632,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409241.089749
149,2423.37951485,2427.38323773,2425.68567380,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409241.0901957
121,35973.98357215,35997.67446091,35992.28285632,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409241.77686
149,2423.37951485,2427.38323772,2425.80701052,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409241.8916335
121,35973.98357215,35996.76823259,35992.28285632,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409242.4902174
149,2423.37951485,2427.26191100,2425.92833725,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409242.4905262
121,35973.98357215,35994.96850631,35992.28285632,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409243.1988451
149,2423.37951485,2427.26191100,2426.04967701,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409243.1990452
121,35994.96850631,35996.76823259,35992.28285632,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409243.8804402
149,2423.37951485,2427.26191100,2426.17101980,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409243.8807297
121,35994.96850631,35996.76822259,35992.28285632,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409245.186015
149,2423.37951485,2427.26191100,2426.29236562,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409245.186361
121,35994.96850631,35994.96850631,35992.28285632,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409245.8821416
149,2423.37951485,2427.17547116,2426.29236562,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409246.4929628
149,2423.37951485,2427.17547116,2426.17101980,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409247.093003
121,35994.96850631,35994.82602076,35984.93574930,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409247.7922049
149,2423.37951485,2427.17547116,2425.31365301,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409247.7925935
149,2423.37951485,2427.17547116,2425.55628051,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409248.4957378
149,2423.37951485,2427.17547116,2425.55629052,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409249.0965917
149,2423.37951485,2427.17547116,2425.55631053,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409250.4083014
121,35994.96850631,35993.02647173,35986.73525334,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409251.0949302
149,2423.37951485,2427.17547116,2425.67762882,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409251.0951939
121,35994.96850631,35991.93136927,35986.73525334,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409251.6971
149,2423.37951485,2427.17547116,2425.92027452,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409251.6972926
121,35994.96850631,35990.13190261,35986.73525334,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409252.402122
149,2423.37951485,2426.75689342,2425.92028452,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409252.4025006
149,2423.37951485,2426.75689342,2425.92029453,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409253.1026578
149,2423.37951485,2426.75689342,2425.92028452,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409253.6976838
121,35994.96850631,35994.82601076,35986.73525335,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409254.4115503
