Date,Open Value,Close Value,High Value,Low Value
1970-01-01 00:00,0.0,0.0,0.0,0.0
2021-05-30 21:13,2423.37951485,2423.37951485,2423.37951485,2423.37951485
2021-05-30 21:14,2423.37951485,2426.3371001,2427.37909858,2423.37951485
